Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
27,26,5,5,22,20,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00000.png
28,27,5,6,23,22,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00001.png
29,26,6,5,24,21,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00002.png
28,27,5,6,23,22,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00003.png
28,26,5,5,23,21,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00004.png
31,27,6,5,26,22,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00005.png
31,28,6,6,26,23,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00006.png
31,28,6,6,26,23,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00007.png
31,29,5,6,26,24,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00008.png
34,32,6,6,29,26,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00009.png
36,33,5,6,31,28,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00010.png
37,34,5,6,32,29,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00011.png
38,34,5,6,32,29,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00012.png
40,34,6,6,34,29,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00013.png
39,34,5,5,34,29,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00014.png
42,36,6,5,37,31,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00015.png
45,39,6,5,40,34,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00016.png
47,42,5,5,41,36,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00017.png
50,45,5,5,45,40,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00018.png
55,49,6,5,49,43,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00019.png
56,51,6,6,51,46,Sa?a_Tehlikeli_Viraj,Train/20/00020_00000_00020.png
